BookId,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Recommended For,Recommended By,Owned Copies,Original Purchase Date,Original Purchase Location,Condition,Condition Description,BCID
2984235,The Art of Electronics (Second Edition),Paul Horowitz,"Horowitz, Paul",Winfield Hill,"=""0521498465""","=""9780521498463""",0,4.28,Not Avail,Paperback,1125,1989,1980,,2016/07/04,"to-read, ghoomakad","to-read (#13), ghoomakad (#12)",to-read,,,,,,,0,,,,,
3156740,Paradise Jazz,Kat Pomfret,"Pomfret, Kat",,"=""1905005083""","=""9781905005086""",0,2.60,Snowbooks,ebook,483,2005,2005,,2016/07/04,"to-read, ghoomakad","to-read (#12), ghoomakad (#11)",to-read,,,,,,,0,,,,,
13516863,Beatrice and Virgil,Yann Martel,"Martel, Yann",,"=""""","=""9780670084517""",0,3.11,Penguin Books India Pvt ltd,Hardcover,205,2010,2010,,2016/07/04,"to-read, ghoomakad","to-read (#11), ghoomakad (#10)",to-read,,,,,,,0,,,,,
1102337,The Taking of Pelham One Two Three,John Godey,"Godey, John",,"=""""","=""""",0,3.74,Dell Publishing Co.,Mass Market Paperback,350,1974,1973,,2016/07/04,"ghoomakad, to-read","ghoomakad (#9), to-read (#10)",to-read,,,,,,,0,,,,,
3359787,The Road To Chess Mastery,Max Euwe,"Euwe, Max",Walter Meiden,"=""0047940026""","=""9780047940026""",0,4.30,George Allen and Unwin,,273,1971,1971,,2016/07/04,"to-read, ghoomakad","to-read (#9), ghoomakad (#8)",to-read,,,,,,,0,,,,,
977388,The Drunken Forest,Gerald Durrell,"Durrell, Gerald",,"=""0140013148""","=""9780140013146""",0,4.15,Penguin Books,Paperback,203,1958,1956,,2016/07/04,"to-read, ghoomakad","to-read (#8), ghoomakad (#7)",to-read,,,,,,,0,,,,,
8490439,Captive Imagination: Letters from Prison,Varavararavu,"Varavararavu, Varavararavu",,"=""0670082570""","=""9780670082575""",0,3.33,Penguin Books India,Hardcover,193,,,,2016/07/04,"to-read, ghoomakad","to-read (#7), ghoomakad (#6)",to-read,,,,,,,0,,,,,
5723033,Kama Sutra (Classic India),Amrita Kumar,"Kumar, Amrita",,"=""8171671608""","=""9788171671601""",0,3.68,South Asia Books,Hardcover,64,1993,1993,,2016/07/04,"to-read, ghoomakad","to-read (#6), ghoomakad (#5)",to-read,,,,,,,0,,,,,
864429,Conversations with God Book 2: An Uncommon Dialogue,Neale Donald Walsch,"Walsch, Neale Donald",,"=""0340765445""","=""9780340765449""",0,4.09,Hodder & Stoughton,Paperback,,1999,1996,,2016/07/04,"to-read, ghoomakad","to-read (#5), ghoomakad (#4)",to-read,,,,,,,0,,,,,
132683,Time Of Desecration,Alberto Moravia,"Moravia, Alberto",,"=""0872169340""","=""9780872169340""",0,3.35,,,,,1978,,2016/07/04,"ghoomakad, to-read","ghoomakad (#3), to-read (#4)",to-read,,,,,,,0,,,,,
20655481,Valmiki Ramayana: The Book Of Wilderness,Vālmīki,"Vālmīki, Vālmīki",Arshia Sattar,"=""""","=""9780143416012""",0,4.04,Penguin Books,Paperback,150,2011,1954,,2016/07/04,"to-read, ghoomakad","to-read (#3), ghoomakad (#2)",to-read,,,,,,,0,,,,,
2663441,Illywhacker,Peter Carey,"Carey, Peter",,"=""0571139493""","=""9780571139491""",0,3.76,Faber and Faber,Paperback,600,1986,1985,,2016/07/04,"to-read, ghoomakad","to-read (#2), ghoomakad (#1)",to-read,,,,,,,0,,,,,
13477486,Never Let Me Go...,Sachin Garg,"Garg, Sachin",,"=""9381841006""","=""9789381841006""",0,3.62,Grapevine India Publishers Pvt. Ltd.,Paperback,239,2012,2012,,2016/02/23,to-read,to-read (#1),to-read,,,,,,,0,,,,,
13041934,Can Love Happen Twice?,Ravinder Singh,"Singh, Ravinder",,"=""0143417231""","=""9780143417231""",0,3.32,Metro Reads,Paperback,224,2011,2011,2016/02/14,2016/02/23,,,read,,,,,,,0,,,,,
19427193,I Too Had a Love Story,Ravinder Singh,"Singh, Ravinder",,"=""8188575704""","=""9788188575701""",0,3.65,Srishti Publishers,Paperback,212,2009,2007,2016/01/01,2016/02/14,,,read,,,,,,,0,,,,,
